@epoch0   Train loss:1004.3666564941407   Valid loss:997.7675415039063    TIME:0.921804666519165
@epoch1   Train loss:996.7406280517578   Valid loss:991.8858520507813    TIME:0.5691759586334229
@epoch2   Train loss:964.1499633789062   Valid loss:856.8846313476563    TIME:0.5699732303619385
@epoch3   Train loss:920.0847717285156   Valid loss:856.2171875    TIME:0.5613112449645996
@epoch4   Train loss:918.7723754882812   Valid loss:941.8875610351563    TIME:0.5615990161895752
@epoch5   Train loss:901.6527679443359   Valid loss:1090.4228759765624    TIME:0.5591626167297363
@epoch6   Train loss:922.5688995361328   Valid loss:855.2531005859375    TIME:0.5695827007293701
@epoch7   Train loss:820.5442840576172   Valid loss:773.9756225585937    TIME:0.5607750415802002
@epoch8   Train loss:754.6646270751953   Valid loss:721.3440673828125    TIME:0.5936398506164551
@epoch9   Train loss:753.9763092041015   Valid loss:715.5970825195312    TIME:0.6022403240203857
@epoch10   Train loss:750.7680419921875   Valid loss:732.0434326171875    TIME:0.5864424705505371
@epoch11   Train loss:757.4478607177734   Valid loss:780.43076171875    TIME:0.5960209369659424
@epoch12   Train loss:767.4044616699218   Valid loss:729.3684814453125    TIME:0.6020050048828125
@epoch13   Train loss:726.4538391113281   Valid loss:786.491259765625    TIME:0.6073575019836426
@epoch14   Train loss:713.0485137939453   Valid loss:693.461083984375    TIME:0.5769345760345459
@epoch15   Train loss:732.3604095458984   Valid loss:716.683056640625    TIME:0.563542366027832
@epoch16   Train loss:721.6901153564453   Valid loss:690.3005615234375    TIME:0.556018590927124
@epoch17   Train loss:698.7585998535156   Valid loss:842.115380859375    TIME:0.5574867725372314
@epoch18   Train loss:774.3723846435547   Valid loss:731.6112670898438    TIME:0.5565524101257324
@epoch19   Train loss:728.529653930664   Valid loss:708.8809448242188    TIME:0.5690207481384277
@epoch20   Train loss:712.9966003417969   Valid loss:697.8442260742188    TIME:0.5574007034301758
@epoch21   Train loss:698.1322509765625   Valid loss:669.7643310546875    TIME:0.5623342990875244
@epoch22   Train loss:775.1138763427734   Valid loss:754.5879028320312    TIME:0.5557372570037842
@epoch23   Train loss:740.5964660644531   Valid loss:701.5373901367187    TIME:0.5802888870239258
@epoch24   Train loss:728.2354461669922   Valid loss:684.02802734375    TIME:0.6048991680145264
@epoch25   Train loss:731.3082946777344   Valid loss:700.3126831054688    TIME:0.5846118927001953
@epoch26   Train loss:707.1025024414063   Valid loss:709.142724609375    TIME:0.5606999397277832
@epoch27   Train loss:705.9364593505859   Valid loss:673.4322021484375    TIME:0.5577731132507324
