@epoch0   Train loss:444.36998443603517   Valid loss:385.46921997070314    TIME:3.471652030944824
@epoch1   Train loss:375.11383666992185   Valid loss:372.67767944335935    TIME:1.5148417949676514
@epoch2   Train loss:372.2560974121094   Valid loss:371.22528076171875    TIME:1.3959643840789795
@epoch3   Train loss:369.2810791015625   Valid loss:367.0368408203125    TIME:1.2941374778747559
@epoch4   Train loss:368.33801727294923   Valid loss:367.8588562011719    TIME:1.281522274017334
@epoch5   Train loss:367.2918045043945   Valid loss:363.71458129882814    TIME:1.3055553436279297
@epoch6   Train loss:363.95117950439453   Valid loss:362.32196655273435    TIME:1.3115487098693848
@epoch7   Train loss:361.77015228271483   Valid loss:359.9709777832031    TIME:1.3151798248291016
@epoch8   Train loss:361.47681121826173   Valid loss:361.15668334960935    TIME:1.3111839294433594
@epoch9   Train loss:362.8746612548828   Valid loss:360.5477600097656    TIME:1.3080921173095703
@epoch10   Train loss:362.0480392456055   Valid loss:360.7655517578125    TIME:1.318796157836914
@epoch11   Train loss:361.0270233154297   Valid loss:359.269677734375    TIME:1.3379745483398438
@epoch12   Train loss:359.9431671142578   Valid loss:358.5921569824219    TIME:1.3184242248535156
@epoch13   Train loss:359.68975219726565   Valid loss:359.32301635742186    TIME:1.3005638122558594
@epoch14   Train loss:360.65392608642577   Valid loss:360.05686645507814    TIME:1.3078227043151855
@epoch15   Train loss:361.0573364257813   Valid loss:361.4089721679687    TIME:1.3197879791259766
@epoch16   Train loss:360.2599624633789   Valid loss:358.2482543945313    TIME:1.3013055324554443
@epoch17   Train loss:359.21923065185547   Valid loss:358.05035400390625    TIME:1.2859241962432861
@epoch18   Train loss:358.3449951171875   Valid loss:357.41883544921876    TIME:1.2984538078308105
@epoch19   Train loss:359.49906463623046   Valid loss:359.8212890625    TIME:1.2947907447814941
@epoch20   Train loss:359.59237518310545   Valid loss:357.51942138671876    TIME:1.2837038040161133
@epoch21   Train loss:358.7478820800781   Valid loss:357.24476928710936    TIME:1.2926406860351562
@epoch22   Train loss:357.866015625   Valid loss:356.65150146484376    TIME:1.2931811809539795
@epoch23   Train loss:359.47631378173827   Valid loss:357.45965576171875    TIME:1.2706105709075928
@epoch24   Train loss:357.8955596923828   Valid loss:355.23517456054685    TIME:1.2596032619476318
@epoch25   Train loss:359.84777679443357   Valid loss:359.5505432128906    TIME:1.3010332584381104
@epoch26   Train loss:359.0899917602539   Valid loss:355.3083801269531    TIME:1.2608623504638672
@epoch27   Train loss:356.135009765625   Valid loss:354.39317626953124    TIME:1.2205519676208496
@epoch28   Train loss:355.7330383300781   Valid loss:354.28619995117185    TIME:1.2163021564483643
@epoch29   Train loss:355.17813873291016   Valid loss:354.5630249023437    TIME:1.241065502166748
@epoch30   Train loss:353.9588027954102   Valid loss:352.6264587402344    TIME:1.2407755851745605
@epoch31   Train loss:351.2271392822266   Valid loss:350.1189697265625    TIME:1.2241606712341309
@epoch32   Train loss:362.1804656982422   Valid loss:358.25416259765626    TIME:1.227691411972046
@epoch33   Train loss:357.3915328979492   Valid loss:352.53696899414064    TIME:1.2722797393798828
@epoch34   Train loss:352.4622970581055   Valid loss:350.44984130859376    TIME:1.295705795288086
@epoch35   Train loss:353.1119323730469   Valid loss:350.58546752929686    TIME:1.3829128742218018
@epoch36   Train loss:350.4883331298828   Valid loss:348.3735412597656    TIME:1.2552447319030762
@epoch37   Train loss:348.4869781494141   Valid loss:346.8650390625    TIME:1.2492892742156982
@epoch38   Train loss:346.83236541748045   Valid loss:349.77654418945315    TIME:1.255044937133789
@epoch39   Train loss:352.99639892578125   Valid loss:348.8651489257812    TIME:1.2485604286193848
@epoch40   Train loss:347.3811096191406   Valid loss:345.07570190429686    TIME:1.2560615539550781
@epoch41   Train loss:348.173405456543   Valid loss:346.43162231445314    TIME:1.2508656978607178
@epoch42   Train loss:345.9727264404297   Valid loss:344.8477294921875    TIME:1.2639410495758057
@epoch43   Train loss:345.689762878418   Valid loss:348.58067626953124    TIME:1.2524614334106445
@epoch44   Train loss:349.6275299072266   Valid loss:346.0024475097656    TIME:1.2779779434204102
@epoch45   Train loss:345.0892623901367   Valid loss:343.7223327636719    TIME:1.2956464290618896
@epoch46   Train loss:343.2807815551758   Valid loss:343.9646728515625    TIME:1.3074884414672852
@epoch47   Train loss:342.8165481567383   Valid loss:345.5050109863281    TIME:1.306391716003418
@epoch48   Train loss:344.4857696533203   Valid loss:341.8179565429688    TIME:1.3082289695739746
@epoch49   Train loss:344.3330764770508   Valid loss:343.1393249511719    TIME:1.296976089477539
@epoch50   Train loss:343.55494537353513   Valid loss:343.2357238769531    TIME:1.3300013542175293
@epoch51   Train loss:343.26624298095703   Valid loss:342.17540283203124    TIME:1.36122465133667
@epoch52   Train loss:342.2190673828125   Valid loss:342.36756591796876    TIME:1.3453905582427979
@epoch53   Train loss:343.2143325805664   Valid loss:344.9568664550781    TIME:1.3648743629455566
@epoch54   Train loss:342.1558670043945   Valid loss:339.8377319335938    TIME:1.363140344619751
@epoch55   Train loss:340.27356109619143   Valid loss:346.6884033203125    TIME:1.3539953231811523
@epoch56   Train loss:342.11781616210936   Valid loss:343.7578857421875    TIME:1.3541638851165771
@epoch57   Train loss:341.808935546875   Valid loss:341.0747924804688    TIME:1.3469247817993164
@epoch58   Train loss:340.5177719116211   Valid loss:340.36219482421876    TIME:1.365321159362793
@epoch59   Train loss:340.1390441894531   Valid loss:343.06995849609376    TIME:1.333080768585205
@epoch60   Train loss:341.1731231689453   Valid loss:343.88511352539064    TIME:1.2697882652282715
@epoch61   Train loss:340.90894470214846   Valid loss:341.754931640625    TIME:1.2726385593414307
@epoch62   Train loss:340.7607955932617   Valid loss:341.8369934082031    TIME:1.2679970264434814
@epoch63   Train loss:340.03302307128905   Valid loss:340.56390380859375    TIME:1.262115716934204
@epoch64   Train loss:342.25489196777346   Valid loss:346.6056762695313    TIME:1.2708046436309814
@epoch65   Train loss:343.6445571899414   Valid loss:342.85458984375    TIME:1.2720324993133545
@epoch66   Train loss:340.08524017333986   Valid loss:338.9438720703125    TIME:1.2688932418823242
@epoch67   Train loss:339.789860534668   Valid loss:339.3232360839844    TIME:1.276383399963379
@epoch68   Train loss:339.30188903808596   Valid loss:338.4133361816406    TIME:1.2703499794006348
@epoch69   Train loss:340.7445358276367   Valid loss:363.0547668457031    TIME:1.2685790061950684
@epoch70   Train loss:347.4856018066406   Valid loss:342.5844482421875    TIME:1.2669970989227295
@epoch71   Train loss:341.46006469726564   Valid loss:340.9713989257813    TIME:1.2710199356079102
@epoch72   Train loss:339.74949645996094   Valid loss:339.2473937988281    TIME:1.271737813949585
@epoch73   Train loss:339.65445404052736   Valid loss:339.51946411132815    TIME:1.2939503192901611
@epoch74   Train loss:339.09865112304686   Valid loss:338.66998291015625    TIME:1.2680387496948242
@epoch75   Train loss:338.4474151611328   Valid loss:339.26380615234376    TIME:1.2674870491027832
@epoch76   Train loss:338.41328125   Valid loss:336.84703369140624    TIME:1.269115686416626
@epoch77   Train loss:337.21778259277346   Valid loss:338.02610473632814    TIME:1.2630126476287842
@epoch78   Train loss:336.0713363647461   Valid loss:337.0929260253906    TIME:1.264617919921875
@epoch79   Train loss:337.65822143554686   Valid loss:339.02027587890626    TIME:1.2670552730560303
@epoch80   Train loss:337.1327697753906   Valid loss:336.8984313964844    TIME:1.2726621627807617
@epoch81   Train loss:336.6150466918945   Valid loss:337.95103759765624    TIME:1.2652645111083984
@epoch82   Train loss:336.9536560058594   Valid loss:336.8950134277344    TIME:1.4229094982147217
@epoch83   Train loss:335.8700836181641   Valid loss:335.8407470703125    TIME:1.316746473312378
@epoch84   Train loss:335.4744506835938   Valid loss:336.4908813476562    TIME:1.2955610752105713
@epoch85   Train loss:338.4153366088867   Valid loss:336.23382568359375    TIME:1.3171863555908203
@epoch86   Train loss:335.91014404296874   Valid loss:338.9095397949219    TIME:1.309678077697754
@epoch87   Train loss:335.35972595214844   Valid loss:339.9169494628906    TIME:1.3317279815673828
@epoch88   Train loss:334.5059509277344   Valid loss:335.74089965820315    TIME:1.314340353012085
@epoch89   Train loss:336.9426666259766   Valid loss:339.09169311523436    TIME:1.3228905200958252
@epoch90   Train loss:336.94397888183596   Valid loss:337.3947509765625    TIME:1.3225326538085938
@epoch91   Train loss:335.26000213623047   Valid loss:335.50926513671874    TIME:1.330371379852295
@epoch92   Train loss:334.68031158447263   Valid loss:335.87534790039064    TIME:1.3310701847076416
@epoch93   Train loss:333.8350326538086   Valid loss:335.4107177734375    TIME:1.3289103507995605
@epoch94   Train loss:333.81177673339846   Valid loss:335.7140380859375    TIME:1.3529627323150635
@epoch95   Train loss:333.93518524169923   Valid loss:334.417919921875    TIME:1.3292100429534912
@epoch96   Train loss:333.8649139404297   Valid loss:335.43800659179686    TIME:1.3231792449951172
@epoch97   Train loss:338.29563293457034   Valid loss:337.92304077148435    TIME:1.3206839561462402
@epoch98   Train loss:336.53832244873047   Valid loss:336.39409790039065    TIME:1.3300001621246338
@epoch99   Train loss:333.8650299072266   Valid loss:336.5328125    TIME:1.3166162967681885
@epoch100   Train loss:335.28604583740236   Valid loss:338.15850830078125    TIME:1.3338875770568848
@epoch101   Train loss:335.1628082275391   Valid loss:334.31611328125    TIME:1.2731006145477295
@epoch102   Train loss:333.53126831054686   Valid loss:335.1998596191406    TIME:1.2716753482818604
@epoch103   Train loss:334.0249984741211   Valid loss:334.4989440917969    TIME:1.274566888809204
@epoch104   Train loss:334.1328872680664   Valid loss:334.07195434570315    TIME:1.3193747997283936
@epoch105   Train loss:335.37786254882815   Valid loss:333.46326904296876    TIME:1.3133931159973145
@epoch106   Train loss:336.5298110961914   Valid loss:341.15899047851565    TIME:1.3051276206970215
@epoch107   Train loss:338.2937927246094   Valid loss:336.14556274414065    TIME:1.3135669231414795
@epoch108   Train loss:333.81742095947266   Valid loss:334.70347290039064    TIME:1.293738603591919
@epoch109   Train loss:332.6622253417969   Valid loss:334.3571350097656    TIME:1.298612356185913
@epoch110   Train loss:332.62005615234375   Valid loss:333.88856201171876    TIME:1.2963342666625977
@epoch111   Train loss:332.84041595458984   Valid loss:334.0914794921875    TIME:1.3033347129821777
@epoch112   Train loss:333.94978790283204   Valid loss:336.59208984375    TIME:1.302086591720581
@epoch113   Train loss:333.8370895385742   Valid loss:332.8041687011719    TIME:1.2973692417144775
@epoch114   Train loss:333.21498107910156   Valid loss:335.0371826171875    TIME:1.2985119819641113
@epoch115   Train loss:333.45276336669923   Valid loss:335.0856140136719    TIME:1.3060731887817383
@epoch116   Train loss:333.2030227661133   Valid loss:335.5017822265625    TIME:1.2986514568328857
@epoch117   Train loss:332.64866790771487   Valid loss:335.81304931640625    TIME:1.300809383392334
@epoch118   Train loss:332.72580871582034   Valid loss:333.52105712890625    TIME:1.2938423156738281
@epoch119   Train loss:331.74781494140626   Valid loss:332.7961364746094    TIME:1.3047261238098145
@epoch120   Train loss:331.61383361816405   Valid loss:334.17576293945314    TIME:1.3355786800384521
@epoch121   Train loss:332.86646728515626   Valid loss:333.6768798828125    TIME:1.29343581199646
@epoch122   Train loss:333.38484954833984   Valid loss:333.3168029785156    TIME:1.3063902854919434
@epoch123   Train loss:331.4927459716797   Valid loss:335.38331909179686    TIME:1.2926464080810547
@epoch124   Train loss:331.6373718261719   Valid loss:332.7195129394531    TIME:1.3244938850402832
@epoch125   Train loss:330.525732421875   Valid loss:333.39100341796876    TIME:1.3958539962768555
@epoch126   Train loss:330.60169372558596   Valid loss:333.1652526855469    TIME:1.4360558986663818
@epoch127   Train loss:330.38702697753905   Valid loss:332.4265930175781    TIME:1.4518449306488037
@epoch128   Train loss:330.3769561767578   Valid loss:332.57842407226565    TIME:1.3694801330566406
@epoch129   Train loss:332.1128921508789   Valid loss:333.39719848632814    TIME:1.4151427745819092
